NORAD_CAT_ID,OBJECT_NAME,OBJECT_ID,EPOCH,CREATION_DATE,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SEMIMAJOR_AXIS,PERIOD,BSTAR,DECAY_DATE,TLE_LINE1,TLE_LINE2,ELEMENT_SET_NO
44714,STARLINK-1008,2019-074B,2026-07-26T03:05:58.460640,2026-07-26T10:36:54,53.1486,241.6012,0.00056156,15.5868,344.5316,15.54683773,6781.209,92.623,0.00087464134000,,1 44714U 19074B   26207.12914885  .00058994  00000-0  87464-3 0  9993,2 44714  53.1486 241.6012 0005616  15.5868 344.5316 15.54683773370269,999
44718,STARLINK-1012,2019-074F,2026-07-26T07:25:25.500288,2026-07-26T10:36:54,53.1528,240.9211,0.00042653,1.8989,358.2038,15.55034109,6780.190,92.602,0.00235501470000,,1 44718U 19074F   26207.30932292  .00163841  00000-0  23550-2 0  9992,2 44718  53.1528 240.9211 0004265   1.8989 358.2038 15.55034109370283,999
44723,STARLINK-1017,2019-074L,2026-07-25T11:02:20.635584,2026-07-25T18:12:52,53.0456,250.2892,0.00010520,57.6194,302.4909,15.34875714,6839.427,93.819,0.00131472070000,,1 44723U 19074L   26206.45996106  .00044993  00000-0  13147-2 0  9994,2 44723  53.0456 250.2892 0001052  57.6194 302.4909 15.34875714370050,999
44725,STARLINK-1020,2019-074N,2026-07-25T13:53:11.359680,2026-07-25T18:12:52,53.1540,266.5411,0.00056945,335.8309,24.2437,15.61291225,6762.063,92.231,0.00093043798000,,1 44725U 19074N   26206.57860370  .00080812  00000-0  93044-3 0  9997,2 44725  53.1540 266.5411 0005694 335.8309  24.2437 15.61291225369848,999
44741,STARLINK-1036,2019-074AE,2026-07-26T05:11:23.466048,2026-07-26T10:36:54,53.0398,225.9895,0.00045282,38.3675,321.7666,15.78960119,6711.523,91.199,0.00046644763000,,1 44741U 19074AE  26207.21624382  .00084570  00000-0  46645-3 0  9998,2 44741  53.0398 225.9895 0004528  38.3675 321.7666 15.78960119370458,999
44744,STARLINK-1039,2019-074AH,2026-07-26T05:37:37.880544,2026-07-26T10:36:54,53.0591,293.1310,0.00013415,298.1418,61.9446,15.31891918,6848.305,94.001,0.00119897950000,,1 44744U 19074AH  26207.23446621  .00037253  00000-0  11990-2 0  9991,2 44744  53.0591 293.1310 0001341 298.1418  61.9446 15.31891918369520,999
44747,STARLINK-1042,2019-074AL,2026-07-26T01:30:24.700032,2026-07-26T10:36:54,53.0404,147.4981,0.00014180,66.7797,293.3363,15.56327082,6776.435,92.526,0.00040668822000,,1 44747U 19074AL  26207.06278588  .00028767  00000-0  40669-3 0  9996,2 44747  53.0404 147.4981 0001418  66.7797 293.3363 15.56327082371575,999
44748,STARLINK-1043,2019-074AM,2026-07-26T05:21:16.243488,2026-07-26T10:36:54,53.0461,239.5940,0.00036808,30.3904,329.7325,15.68187981,6742.223,91.826,0.00040673682000,,1 44748U 19074AM  26207.22310467  .00045977  00000-0  40674-3 0  9996,2 44748  53.0461 239.5940 0003681  30.3904 329.7325 15.68187981370271,999
44751,STARLINK-1046,2019-074AQ,2026-07-25T13:53:22.068096,2026-07-25T18:12:52,53.0441,266.8073,0.00042447,303.8812,56.1797,15.61201982,6762.321,92.237,0.00038229112000,,1 44751U 19074AQ  26206.57872764  .00032575  00000-0  38229-3 0  9993,2 44751  53.0441 266.8073 0004245 303.8812  56.1797 15.61201982369831,999
44752,STARLINK-1047,2019-074AR,2026-07-26T04:42:54.323712,2026-07-26T10:36:54,53.0658,217.4564,0.00015894,319.8443,40.2442,15.36123437,6835.723,93.742,0.00097732251000,,1 44752U 19074AR  26207.19646208  .00034670  00000-0  97732-3 0  9997,2 44752  53.0658 217.4564 0001589 319.8443  40.2442 15.36123437370602,999
