NORAD_CAT_ID,OBJECT_NAME,OBJECT_ID,EPOCH,CREATION_DATE,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SEMIMAJOR_AXIS,PERIOD,BSTAR,DECAY_DATE,TLE_LINE1,TLE_LINE2,ELEMENT_SET_NO,MEAN_ALTITUDE_KM
45754,STARLINK-1477,2020-038AA,2026-07-26T05:38:04.764768,2026-07-26T10:36:54,53.0422,299.8107,0.0001141,47.6352,312.474,15.21348753,6879.908,94.653,0.0015941752,,1 45754U 20038AA  26207.23477737  .00036018  00000-0  15942-2 0  9996,2 45754  53.0422 299.8107 0001141  47.6352 312.4740 15.21348753337578,999,501.77100000000064
45668,STARLINK-1451,2020-035M,2026-07-26T05:46:26.185440,2026-07-26T10:36:54,53.0496,157.38,0.00023918,46.4067,313.7124,15.16289856,6895.202,94.969,0.0019567542,,1 45668U 20035M   26207.24058085  .00038244  00000-0  19568-2 0  9990,2 45668  53.0496 157.3800 0002392  46.4067 313.7124 15.16289856339721,999,517.0650000000005
45693,STARLINK-1417,2020-035AN,2026-07-26T01:24:29.620224,2026-07-26T10:36:54,53.0497,143.9782,0.00026959,354.6888,5.4078,15.18948982,6887.153,94.802,0.0019642427,,1 45693U 20035AN  26207.05867616  .00041472  00000-0  19642-2 0  9995,2 45693  53.0497 143.9782 0002696 354.6888   5.4078 15.18948982339886,999,509.01600000000053
45098,STARLINK-1184,2020-006BG,2026-07-26T02:03:15.654240,2026-07-26T10:36:54,53.051,337.3547,0.00030002,184.7483,175.3482,15.16333258,6895.071,94.966,0.0015203244,,1 45098U 20006BG  26207.08559785  .00029647  00000-0  15203-2 0  9999,2 45098  53.0510 337.3547 0003000 184.7483 175.3482 15.16333258357992,999,516.9340000000002
48472,STARLINK-2722,2021-040AW,2026-07-25T13:57:20.590848,2026-07-26T04:22:28,53.0606,288.0491,8.727e-05,40.1811,319.9246,15.13819405,6902.702,95.124,0.0012595616,,1 48472U 21040AW  26206.58148832  .00022788  00000-0  12596-2 0  9999,2 48472  53.0606 288.0491 0000873  40.1811 319.9246 15.13819405287336,999,524.5650000000005
46027,STARLINK-1522,2020-055A,2026-07-25T17:59:34.689984,2026-07-26T04:22:28,53.0609,221.2722,0.00014789,70.9944,289.1209,15.14927707,6899.335,95.054,0.0011046186,,1 46027U 20055A   26206.74970706  .00020581  00000-0  11046-2 0  9997,2 46027  53.0609 221.2722 0001479  70.9944 289.1209 15.14927707329778,999,521.1980000000003
47391,STARLINK-2112,2021-005AU,2026-07-26T05:05:09.292704,2026-07-26T10:36:54,53.0659,125.979,0.00024955,61.0698,299.0544,15.13562002,6903.485,95.14,0.0016291539,,1 47391U 21005AU  26207.21191311  .00029378  00000-0  16292-2 0  9999,2 47391  53.0659 125.9790 0002496  61.0698 299.0544 15.13562002304395,999,525.348
45368,STARLINK-1276,2020-019J,2026-07-26T03:41:37.606272,2026-07-26T10:36:54,53.0708,258.3633,0.00012938,30.818,329.289,15.16506821,6894.545,94.955,0.0010910723,,1 45368U 20019J   26207.15390748  .00021268  00000-0  10911-2 0  9995,2 45368  53.0708 258.3633 0001294  30.8180 329.2890 15.16506821350700,999,516.4080000000004
53417,STARLINK-4484,2022-097AF,2026-07-26T04:41:34.153152,2026-07-26T10:36:54,53.1571,212.0148,0.00011102,83.4644,276.6474,15.08835148,6917.895,95.438,7.5238577e-05,,1 53417U 22097AF  26207.19553418  .00000910  00000-0  75239-4 0  9993,2 53417  53.1571 212.0148 0001110  83.4644 276.6474 15.08835148219533,999,539.7580000000007
51121,STARLINK-3399,2022-005T,2026-07-25T12:23:15.733248,2026-07-25T18:12:52,53.1573,30.0779,0.00019054,84.9666,275.1542,15.08832952,6917.902,95.438,-6.6732358e-05,,1 51121U 22005T   26206.51615432 -.00001350  00000-0 -66732-4 0  9991,2 51121  53.1573  30.0779 0001905  84.9666 275.1542 15.08832952249684,999,539.7650000000003
